num_p,num_scripts,num_a,num_events,is_react,is_vue,is_angular,html_length,score
10, 16, 279, 0, 0, 0, 0, 396589, 0
8, 16, 279, 0, 0, 0, 0, 395111, 0
11, 16, 276, 0, 0, 0, 0, 395258, 0
7, 16, 278, 0, 0, 0, 0, 393462, 0
15, 16, 277, 0, 0, 0, 0, 395617, 0
19, 16, 279, 0, 0, 0, 0, 402560, 0
13, 14, 233, 1, 0, 0, 0, 466509, 0
20, 16, 279, 0, 0, 0, 0, 397483, 0
18, 16, 278, 0, 0, 0, 0, 396497, 0
20, 16, 279, 0, 0, 0, 0, 399248, 0
39, 16, 282, 0, 0, 0, 0, 399504, 0
31, 16, 296, 0, 0, 0, 0, 415272, 0
19, 16, 300, 1, 0, 0, 0, 409813, 0
27, 16, 296, 0, 0, 0, 0, 411136, 0
23, 16, 293, 0, 0, 0, 0, 407760, 0
13, 16, 279, 0, 0, 0, 0, 395259, 0
30, 16, 281, 0, 0, 0, 0, 400525, 0
23, 16, 278, 0, 0, 0, 0, 401918, 0
14, 16, 268, 0, 0, 0, 0, 391943, 0
20, 16, 279, 0, 0, 0, 0, 398355, 0
16, 16, 277, 0, 0, 0, 0, 397391, 0
20, 16, 279, 0, 0, 0, 0, 399611, 0
22, 16, 275, 0, 0, 0, 0, 398976, 0
9, 16, 277, 0, 0, 0, 0, 395455, 0
1, 14, 242, 2, 0, 0, 0, 455926, 0
26, 16, 282, 0, 0, 0, 0, 402649, 0
17, 16, 279, 0, 0, 0, 0, 398994, 0
15, 16, 282, 0, 0, 0, 0, 399841, 0
12, 16, 291, 0, 0, 0, 0, 405386, 0
17, 15, 246, 1, 0, 0, 0, 466217, 0
33, 15, 234, 1, 0, 0, 0, 467891, 0
12, 16, 271, 0, 0, 0, 0, 389121, 0
10, 16, 291, 0, 0, 0, 0, 400383, 0
22, 16, 297, 0, 0, 0, 0, 409274, 0
26, 16, 279, 0, 0, 0, 0, 398301, 0
27, 16, 296, 0, 0, 0, 0, 409874, 0
0, 14, 181, 0, 0, 0, 0, 531894, 0
24, 16, 291, 0, 0, 0, 0, 409908, 0
17, 14, 238, 2, 0, 0, 0, 469101, 0
12, 14, 231, 1, 0, 0, 0, 461155, 0
19, 15, 240, 2, 0, 0, 0, 463147, 0
20, 16, 292, 0, 0, 0, 0, 401775, 0
12, 16, 282, 0, 0, 0, 0, 395685, 0
5, 16, 277, 0, 0, 0, 0, 389259, 0
23, 16, 282, 0, 0, 0, 0, 400568, 0
0, 14, 181, 0, 0, 0, 0, 531464, 0
22, 16, 279, 0, 0, 0, 0, 400973, 0
14, 16, 279, 0, 0, 0, 0, 396152, 0
12, 16, 292, 0, 0, 0, 0, 402123, 0
17, 16, 282, 0, 0, 0, 0, 396395, 0
0, 12, 294, 0, 0, 0, 0, 386115, 0
19, 16, 282, 0, 0, 0, 0, 396253, 0
18, 16, 281, 0, 0, 0, 0, 396546, 0
16, 16, 281, 0, 0, 0, 0, 399999, 0
17, 16, 281, 0, 0, 0, 0, 395031, 0
10, 16, 281, 0, 0, 0, 0, 393053, 0
17, 16, 281, 0, 0, 0, 0, 394998, 0
21, 16, 280, 0, 0, 0, 0, 398599, 0
30, 16, 281, 0, 0, 0, 0, 403348, 0
18, 16, 281, 0, 0, 0, 0, 395283, 0
16, 16, 282, 0, 0, 0, 0, 394143, 0
23, 16, 281, 0, 0, 0, 0, 395016, 0
0, 12, 295, 0, 0, 0, 0, 386648, 0
0, 12, 295, 0, 0, 0, 0, 386462, 0
0, 12, 295, 0, 0, 0, 0, 386395, 0
0, 12, 296, 0, 0, 0, 0, 386630, 0
36, 15, 236, 1, 0, 0, 0, 464200, 0
0, 12, 294, 0, 0, 0, 0, 385338, 0
16, 16, 292, 0, 0, 0, 0, 403209, 0
30, 16, 301, 1, 0, 0, 0, 413751, 0
0, 12, 294, 0, 0, 0, 0, 384804, 0
3, 14, 237, 1, 0, 0, 0, 453882, 0
55, 15, 238, 1, 0, 0, 0, 499790, 0
49, 15, 235, 1, 0, 0, 0, 483086, 0
